Name,long,Lat
Ceratocephale oculata,-83.597,26.478
Ceratocephale oculata,-83.583,27.594
Ceratocephale oculata,-83.581,29.353
Ceratocephale oculata,-83.577,26.601
Ceratocephale oculata,-83.574,25.503
Ceratocephale oculata,-83.569,27.876
Ceratocephale oculata,-83.567,27.875
Ceratocephale oculata,-83.567,27.874
Ceratocephale oculata,-83.566,27.875
Ceratocephale oculata,-83.565,25.681
Ceratocephale oculata,-83.563,26.259
Ceratocephale oculata,-83.546,26.152
Ceratocephale oculata,-83.527,25.377
Ceratocephale oculata,-83.524,26.395
Ceratocephale oculata,-83.524,25.004
Ceratocephale oculata,-83.515,26.373
Ceratocephale oculata,-83.509,26.149
Ceratocephale oculata,-83.508,24.807
Ceratocephale oculata,-83.502,28.5
Ceratocephale oculata,-83.499,28.5
Ceratocephale oculata,-83.493,25.106
Ceratocephale oculata,-83.49,26.397
Ceratocephale oculata,-83.483,24.733
Ceratocephale oculata,-83.459,27.933
Ceratocephale oculata,-83.459,26.188
Ceratocephale oculata,-83.459,25.103
Ceratocephale oculata,-83.458,27.933
Ceratocephale oculata,-83.444,25.623
Ceratocephale oculata,-83.42,25.704
Ceratocephale oculata,-83.405,25.95
Ceratocephale oculata,-83.404,26.525
Ceratocephale oculata,-83.383,26.418
Ceratocephale oculata,-83.376,26.109
Ceratocephale oculata,-83.376,25.378
Ceratocephale oculata,-83.373,25.192
Ceratocephale oculata,-83.345,26.731
Ceratocephale oculata,-83.343,27.308
Ceratocephale oculata,-83.342,24.839
Ceratocephale oculata,-83.339,26.708
Ceratocephale oculata,-83.338,26.273
Ceratocephale oculata,-83.335,25.124
Ceratocephale oculata,-83.322,25.492
Ceratocephale oculata,-83.32,25.816
Ceratocephale oculata,-83.308,24.802
Ceratocephale oculata,-83.293,25.578
Ceratocephale oculata,-83.289,25.904
Ceratocephale oculata,-83.258,26.105
Ceratocephale oculata,-83.222,25.107
Ceratocephale oculata,-83.219,26.602
Ceratocephale oculata,-83.208,27.302
Ceratocephale oculata,-83.204,24.99
Ceratocephale oculata,-83.198,26.426
Ceratocephale oculata,-83.185,25.912
Ceratocephale oculata,-83.184,24.527
Ceratocephale oculata,-83.165,26.388
Ceratocephale oculata,-83.161,25.766
Ceratocephale oculata,-83.154,25.321
Ceratocephale oculata,-83.152,27.951
Ceratocephale oculata,-83.151,25.021
Ceratocephale oculata,-83.15,27.95
Ceratocephale oculata,-83.15,27.948
Ceratocephale oculata,-83.141,26.773
Ceratocephale oculata,-83.138,25.373
Ceratocephale oculata,-83.119,25.129
Ceratocephale oculata,-83.113,25.155
Ceratocephale oculata,-83.109,24.607
Ceratocephale oculata,-83.084,25.669
Ceratocephale oculata,-83.083,25.667
Ceratocephale oculata,-83.08,26.272
Ceratocephale oculata,-83.079,26.109
Ceratocephale oculata,-83.076,25.656
Ceratocephale oculata,-83.067,25.833
Ceratocephale oculata,-83.057,24.855
Ceratocephale oculata,-83.042,26.603
Ceratocephale oculata,-83.041,25.626
Ceratocephale oculata,-83.039,25.244
Ceratocephale oculata,-83.019,27.007
Ceratocephale oculata,-82.984,26.418
Ceratocephale oculata,-82.983,24.438
Ceratocephale oculata,-82.961,26.224
Ceratocephale oculata,-82.961,25.406
Ceratocephale oculata,-82.959,26.144
Ceratocephale oculata,-82.958,25.925
Ceratocephale oculata,-82.946,25.78
Ceratocephale oculata,-82.938,25.898
Ceratocephale oculata,-82.931,24.509
Ceratocephale oculata,-82.926,25.393
Ceratocephale oculata,-82.868,27.372
Ceratocephale oculata,-82.868,24.797
Ceratocephale oculata,-82.862,25.095
Ceratocephale oculata,-82.854,26.525
Ceratocephale oculata,-82.828,25.546
Ceratocephale oculata,-82.804,27.121
Ceratocephale oculata,-82.803,26.38
Ceratocephale oculata,-82.801,25.337
Ceratocephale oculata,-82.772,24.525
Ceratocephale oculata,-82.771,26.106
Ceratocephale oculata,-82.761,25.717
Ceratocephale oculata,-82.72,25.855
Ceratocephale oculata,-82.709,26.22
Ceratocephale oculata,-82.693,24.464
