family,genus,species,Longitude,Latitude
Nereididae,Alitta,Alitta succinea,-90.338,29.233
Nereididae,Alitta,Alitta succinea,-90.163,29.047
Nereididae,Alitta,Alitta succinea,-90.154,30.254
Nereididae,Alitta,Alitta succinea,-90.138,30.078
Nereididae,Alitta,Alitta succinea,-90.077,29.251
Nereididae,Alitta,Alitta succinea,-90.027,29.255
Nereididae,Alitta,Alitta succinea,-89.999,30.335
Nereididae,Alitta,Alitta succinea,-89.976,29.43
Nereididae,Alitta,Alitta succinea,-89.962,29.359
Nereididae,Alitta,Alitta succinea,-89.928,29.409
Nereididae,Alitta,Alitta succinea,-89.842,29.443
Nereididae,Alitta,Alitta succinea,-89.801,29.954
Nereididae,Alitta,Alitta succinea,-89.777,29.99
Nereididae,Alitta,Alitta succinea,-89.722,30.17
Nereididae,Alitta,Alitta succinea,-89.679,29.999
Nereididae,Alitta,Alitta succinea,-89.677,29.932
Nereididae,Alitta,Alitta succinea,-89.675,30.051
Nereididae,Alitta,Alitta succinea,-89.624,29.84
Nereididae,Alitta,Alitta succinea,-89.612,29.496
Nereididae,Alitta,Alitta succinea,-89.552,29.504
Nereididae,Alitta,Alitta succinea,-89.543,30.01
Nereididae,Alitta,Alitta succinea,-89.536,30.016
Nereididae,Alitta,Alitta succinea,-89.51,29.671
Nereididae,Alitta,Alitta succinea,-89.485,30.09
Nereididae,Alitta,Alitta succinea,-89.483,29.684
Nereididae,Alitta,Alitta succinea,-89.48,30.18
Nereididae,Alitta,Alitta succinea,-89.479,30.188
Nereididae,Alitta,Alitta succinea,-89.474,30.156
Nereididae,Alitta,Alitta succinea,-89.473,30.183
Nereididae,Alitta,Alitta succinea,-89.467,30.192
Nereididae,Alitta,Alitta succinea,-89.456,29.656
Nereididae,Alitta,Alitta succinea,-89.438,29.503
Nereididae,Alitta,Alitta succinea,-89.437,30.135
Nereididae,Alitta,Alitta succinea,-89.43,30.202
Nereididae,Alitta,Alitta succinea,-89.424,30.001
Nereididae,Alitta,Alitta succinea,-89.42,30.17
Nereididae,Alitta,Alitta succinea,-89.417,30.167
